,airport,type of traffic,2009-Jan,2009-Feb,2009-Mar,2009-Apr,2009-May,2009-Jun,2009-Jul,2009-Aug,2009-Sep,2009-Oct,2009-Nov,2009-Dec,2010-Jan,2010-Feb,2010-Mar,2010-Apr,2010-May,2010-Jun,2010-Jul,2010-Aug,2010-Sep,2010-Oct,2010-Nov,2010-Dec,2011-Jan,2011-Feb,2011-Mar,2011-Apr,2011-May,2011-Jun,2011-Jul,2011-Aug,2011-Sep,2011-Oct,2011-Nov,2011-Dec,2012-Jan,2012-Feb,2012-Mar,2012-Apr,2012-May,2012-Jun,2012-Jul,2012-Aug,2012-Sep,2012-Oct,2012-Nov,2012-Dec,2013-Jan,2013-Feb,2013-Mar,2013-Apr,2013-May,2013-Jun,2013-Jul,2013-Aug,2013-Sep,2013-Oct,2013-Nov,2013-Dec,2014-Jan,2014-Feb,2014-Mar,2014-Apr,2014-May,2014-Jun,2014-Jul,2014-Aug,2014-Sep,2014-Oct,2014-Nov,2014-Dec,2015-Jan,2015-Feb,2015-Mar,2015-Apr,2015-May,2015-Jun,2015-Jul,2015-Aug,2015-Sep,2015-Oct,2015-Nov,2015-Dec,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct
0,Alta,"Helicopter, other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,70.0,98.0,117.0,151.0,128.0,93.0,98.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alta,Other commercial flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alta,"Helicopter, other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,70.0,98.0,117.0,151.0,128.0,93.0,98.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alta,All commercial flights,26463.0,28555.0,29344.0,27208.0,26963.0,30302.0,33726.0,31569.0,30302.0,29697.0,26692.0,22721.0,21006.0,24099.0,27769.0,20351.0,27560.0,34446.0,36551.0,35432.0,30139.0,30314.0,25873.0,22914.0,23369.0,23484.0,29224.0,28631.0,32310.0,36531.0,36285.0,35149.0,31918.0,30620.0,27991.0,24093.0,25061.0,26882.0,30792.0,28056.0,32323.0,30331.0,36483.0,34561.0,30757.0,30912.0,26338.0,22131.0,23701.0,26255.0,27932.0,30822.0,30246.0,36317.0,38353.0,35334.0,32486.0,29833.0,25083.0,22941.0,23105.0,23708.0,28904.0,31328.0,34135.0,40850.0,39183.0,36602.0,34702.0,33768.0,25858.0,25538.0,23040.0,24707.0,34915.0,29960.0,35226.0,41802.0,43498.0,37647.0,36552.0,34885.0,29920.0,26199.0,24244.0,29009.0,29803.0,29461.0,32303.0,39325.0,40708.0,37511.0,35141.0,32719.0,29239.0,25102.0,26683.0,27871.0,33550.0,28367.0,34052.0,38455.0,39352.0,37708.0,34237.0,34087.0,29722.0,24374.0,26628.0,28531.0,30779.0,33171.0,34956.0,38654.0,40744.0,39762.0,33843.0,33657.0,27466.0,23744.0,26564.0,28544.0,32329.0,29328.0,32037.0,35975.0,37459.0,35822.0,35081.0,32140.0,27251.0,24943.0,27644.0,27778.0,16487.0,4221.0,6229.0,13248.0,24120.0,20621.0,19571.0
4,Alta,All commercial flights,0.0,0.0,116.0,0.0,510.0,1162.0,622.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,109.0,6.0,765.0,821.0,0.0,471.0,1303.0,482.0,4.0,0.0,84.0,4.0,0.0,0.0,764.0,1009.0,18.0,492.0,1645.0,176.0,0.0,0.0,0.0,0.0,4.0,4.0,753.0,733.0,82.0,668.0,1485.0,177.0,0.0,0.0,0.0,0.0,1.0,13.0,1063.0,1417.0,1438.0,1446.0,1088.0,0.0,1.0,118.0,0.0,0.0,0.0,5.0,1470.0,1787.0,1259.0,793.0,1201.0,459.0,0.0,0.0,0.0,2.0,0.0,0.0,628.0,1306.0,1165.0,177.0,19.0,0.0,0.0,191.0,0.0,27.0,0.0,0.0,1158.0,821.0,21.0,0.0,47.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,1493.0,798.0,13.0,26.0,178.0,174.0,177.0,179.0,0.0,0.0,175.0,166.0,1654.0,963.0,0.0,148.0,0.0,0.0,8.0,0.0,0.0,105.0,0.0,168.0,1281.0,813.0,0.0,4.0,0.0,93.0,0.0,129.0,73.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
5,Alta,All commercial flights,26463.0,28555.0,29460.0,27208.0,27473.0,31464.0,34348.0,31569.0,30358.0,29697.0,26692.0,22722.0,21006.0,24099.0,27878.0,20357.0,28325.0,35267.0,36551.0,35903.0,31442.0,30796.0,25877.0,22914.0,23453.0,23488.0,29224.0,28631.0,33074.0,37540.0,36303.0,35641.0,33563.0,30796.0,27991.0,24093.0,25061.0,26882.0,30796.0,28060.0,33076.0,31064.0,36565.0,35229.0,32242.0,31089.0,26338.0,22131.0,23701.0,26255.0,27933.0,30835.0,31309.0,37734.0,39791.0,36780.0,33574.0,29833.0,25084.0,23059.0,23105.0,23708.0,28904.0,31333.0,35605.0,42637.0,40442.0,37395.0,35903.0,34227.0,25858.0,25538.0,23040.0,24709.0,34915.0,29960.0,35854.0,43108.0,44663.0,37824.0,36571.0,34885.0,29920.0,26390.0,24244.0,29036.0,29803.0,29461.0,33461.0,40146.0,40729.0,37511.0,35188.0,32719.0,29239.0,25109.0,26683.0,27873.0,33550.0,28367.0,35545.0,39253.0,39365.0,37734.0,34415.0,34261.0,29899.0,24553.0,26628.0,28531.0,30954.0,33337.0,36610.0,39617.0,40744.0,39910.0,33843.0,33657.0,27474.0,23744.0,26564.0,28649.0,32329.0,29496.0,33318.0,36788.0,37459.0,35826.0,35081.0,32233.0,27251.0,25072.0,27717.0,27778.0,16487.0,4221.0,6229.0,13248.0,24122.0,20625.0,19571.0
6,Alta,Scheduled passenger flights,26463.0,28555.0,29344.0,27208.0,26963.0,30302.0,33661.0,30689.0,28929.0,28850.0,26419.0,22651.0,21006.0,23936.0,27654.0,20257.0,27559.0,34231.0,36544.0,35394.0,30139.0,30049.0,25870.0,22914.0,23369.0,23484.0,29082.0,28621.0,32310.0,36069.0,36237.0,35141.0,31913.0,30620.0,27953.0,24093.0,25061.0,26868.0,30792.0,28056.0,32289.0,30141.0,36479.0,34445.0,30757.0,30912.0,26145.0,22131.0,23698.0,26033.0,27931.0,30796.0,30207.0,35957.0,38342.0,35219.0,32486.0,29833.0,25083.0,22643.0,23097.0,23708.0,28904.0,31263.0,33756.0,39984.0,38286.0,35889.0,33916.0,33348.0,25858.0,25538.0,23009.0,24591.0,31734.0,29790.0,34860.0,41138.0,43239.0,37274.0,36344.0,34362.0,29867.0,26005.0,24178.0,28749.0,29501.0,29332.0,32188.0,39186.0,40465.0,37074.0,34577.0,32260.0,28511.0,24527.0,26043.0,27810.0,32509.0,28367.0,33727.0,38397.0,39303.0,37518.0,34237.0,34087.0,29324.0,23944.0,26541.0,28531.0,30676.0,33024.0,34956.0,38654.0,40718.0,39762.0,33841.0,33657.0,27438.0,23744.0,26247.0,28120.0,32308.0,29130.0,32037.0,35975.0,37358.0,35822.0,34926.0,32140.0,27066.0,24943.0,27644.0,27778.0,16487.0,4217.0,6079.0,12869.0,23765.0,20285.0,19517.0
7,Alta,Scheduled passenger flights,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1470.0,797.0,0.0,607.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,129.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alta,Other commercial flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alta,Non-scheduled passenger flights,0.0,0.0,0.0,0.0,0.0,0.0,65.0,837.0,1373.0,847.0,273.0,70.0,0.0,163.0,115.0,94.0,0.0,215.0,3.0,38.0,0.0,265.0,2.0,0.0,0.0,0.0,142.0,0.0,0.0,462.0,22.0,8.0,0.0,0.0,38.0,0.0,0.0,14.0,0.0,0.0,34.0,190.0,4.0,115.0,0.0,0.0,166.0,0.0,0.0,222.0,1.0,0.0,39.0,360.0,11.0,96.0,0.0,0.0,0.0,298.0,8.0,0.0,0.0,65.0,233.0,430.0,614.0,481.0,520.0,294.0,0.0,0.0,31.0,116.0,3029.0,0.0,0.0,245.0,4.0,123.0,0.0,140.0,0.0,194.0,66.0,260.0,298.0,114.0,115.0,122.0,10.0,2.0,63.0,0.0,338.0,344.0,360.0,0.0,1041.0,0.0,0.0,3.0,5.0,129.0,0.0,0.0,262.0,430.0,87.0,0.0,77.0,147.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,317.0,395.0,0.0,180.0,0.0,0.0,88.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,4.0,134.0,330.0,328.0,336.0,54.0
10,Alta,Scheduled passenger flights,26463.0,28555.0,29460.0,27208.0,26963.0,30302.0,33661.0,30689.0,28985.0,28850.0,26419.0,22651.0,21006.0,23936.0,27763.0,20257.0,27559.0,34231.0,36544.0,35394.0,30139.0,30049.0,25870.0,22914.0,23453.0,23484.0,29082.0,28621.0,32310.0,36069.0,36237.0,35141.0,31913.0,30620.0,27953.0,24093.0,25061.0,26868.0,30792.0,28056.0,32289.0,30141.0,36479.0,34445.0,30757.0,30912.0,26145.0,22131.0,23698.0,26033.0,27931.0,30796.0,31270.0,36279.0,38342.0,35219.0,32486.0,29833.0,25084.0,22643.0,23097.0,23708.0,28904.0,31263.0,35226.0,40781.0,38286.0,36496.0,34495.0,33348.0,25858.0,25538.0,23009.0,24591.0,31734.0,29790.0,34860.0,41138.0,43239.0,37274.0,36344.0,34362.0,29867.0,26193.0,24178.0,28749.0,29501.0,29332.0,32188.0,39186.0,40465.0,37074.0,34577.0,32260.0,28511.0,24527.0,26043.0,27810.0,32509.0,28367.0,33727.0,38397.0,39303.0,37518.0,34237.0,34087.0,29324.0,23944.0,26541.0,28531.0,30851.0,33024.0,34956.0,38654.0,40718.0,39762.0,33841.0,33657.0,27438.0,23744.0,26247.0,28225.0,32308.0,29130.0,32037.0,35975.0,37358.0,35822.0,34926.0,32233.0,27066.0,25072.0,27717.0,27778.0,16487.0,4217.0,6079.0,12869.0,23765.0,20285.0,19517.0
11,Alta,"Helicopter, continental shelf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alta,"Helicopter, continental shelf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,436.0,283.0,232.0,266.0,126.0,0.0,0.0,0.0,0.0,152.0,170.0,366.0,419.0,255.0,238.0,208.0,221.0,53.0,0.0,0.0,0.0,4.0,15.0,0.0,6.0,163.0,337.0,384.0,308.0,262.0,138.0,182.0,50.0,0.0,0.0,325.0,55.0,44.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,49.0,27.0,0.0,0.0
13,Alta,Freight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alta,"Helicopter, continental shelf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,436.0,283.0,232.0,266.0,126.0,0.0,0.0,0.0,0.0,152.0,170.0,366.0,419.0,255.0,238.0,208.0,221.0,53.0,0.0,0.0,0.0,4.0,15.0,0.0,6.0,163.0,337.0,384.0,308.0,262.0,145.0,182.0,50.0,0.0,0.0,325.0,55.0,44.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,49.0,27.0,0.0,0.0
15,Alta,Freight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Alta,Non-scheduled passenger flights,0.0,0.0,0.0,0.0,510.0,1162.0,687.0,837.0,1373.0,847.0,273.0,71.0,0.0,163.0,115.0,100.0,765.0,1036.0,3.0,509.0,1303.0,747.0,6.0,0.0,0.0,4.0,142.0,0.0,764.0,1471.0,40.0,500.0,1645.0,176.0,38.0,0.0,0.0,14.0,4.0,4.0,787.0,923.0,86.0,783.0,1485.0,177.0,166.0,0.0,0.0,222.0,2.0,13.0,39.0,1455.0,1449.0,1542.0,1088.0,0.0,0.0,416.0,8.0,0.0,0.0,70.0,233.0,1420.0,1873.0,667.0,1142.0,753.0,0.0,0.0,31.0,118.0,3029.0,0.0,628.0,1551.0,1169.0,300.0,19.0,140.0,0.0,197.0,66.0,287.0,298.0,114.0,1273.0,943.0,31.0,2.0,110.0,0.0,338.0,344.0,360.0,2.0,1041.0,0.0,1493.0,801.0,18.0,155.0,178.0,174.0,439.0,609.0,87.0,0.0,77.0,313.0,1654.0,963.0,5.0,148.0,0.0,0.0,36.0,0.0,317.0,395.0,0.0,348.0,1281.0,813.0,88.0,4.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,4.0,134.0,330.0,330.0,340.0,54.0
17,Alta,Non-scheduled passenger flights,0.0,0.0,0.0,0.0,510.0,1162.0,622.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,765.0,821.0,0.0,471.0,1303.0,482.0,4.0,0.0,0.0,4.0,0.0,0.0,764.0,1009.0,18.0,492.0,1645.0,176.0,0.0,0.0,0.0,0.0,4.0,4.0,753.0,733.0,82.0,668.0,1485.0,177.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1095.0,1438.0,1446.0,1088.0,0.0,0.0,118.0,0.0,0.0,0.0,5.0,0.0,990.0,1259.0,186.0,622.0,459.0,0.0,0.0,0.0,2.0,0.0,0.0,628.0,1306.0,1165.0,177.0,19.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,1158.0,821.0,21.0,0.0,47.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1493.0,798.0,13.0,26.0,178.0,174.0,177.0,179.0,0.0,0.0,0.0,166.0,1654.0,963.0,0.0,148.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,168.0,1281.0,813.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
18,Andenes Andøya,"Helicopter, other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andenes Andøya,Scheduled passenger flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Andenes Andøya,Non-scheduled passenger flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
